epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.9347,2.11315,2.57923,2.34299,0,0,0,0,0,0,0,0.000663968,0.000663968,0.000663968
2,125.088,2.16134,2.5402,2.34113,0,0,0,0,0,0,0,0.00130429,0.00130429,0.00130429
3,182.402,2.07103,2.44143,2.23839,0,0,0,0,0,0,0,0.00191821,0.00191821,0.00191821
4,239.579,2.03055,2.38339,2.25251,0,0,0,0,0,0,0,0.0018812,0.0018812,0.0018812
5,298.122,1.96707,2.28054,2.16516,0,0,0,0,0,0,0,0.0018416,0.0018416,0.0018416
6,355.721,1.94412,2.26568,2.14804,0,0,0,0,0,0,0,0.001802,0.001802,0.001802
7,413.983,1.9146,2.19139,2.12124,0,0,0,0,0,0,0,0.0017624,0.0017624,0.0017624
8,471.392,1.87461,2.21149,2.08578,0,0,0,0,0,0,0,0.0017228,0.0017228,0.0017228
9,528.816,1.88032,2.15717,2.06763,0,0,0,0,0,0,0,0.0016832,0.0016832,0.0016832
10,586.166,1.84249,2.07174,2.04679,0,0,0,0,0,0,0,0.0016436,0.0016436,0.0016436
11,643.599,1.83061,2.01495,2.03219,0,0,0,0,0,0,0,0.001604,0.001604,0.001604
12,701.074,1.84568,2.01392,2.04198,0,0,0,0,0,0,0,0.0015644,0.0015644,0.0015644
13,758.543,1.80059,1.97356,2.01714,0,0,0,0,0,0,0,0.0015248,0.0015248,0.0015248
14,816.954,1.80328,1.96896,2.00141,0,0,0,0,0,0,0,0.0014852,0.0014852,0.0014852
15,875.408,1.79597,1.93927,2.01701,0,0,0,0,0,0,0,0.0014456,0.0014456,0.0014456
16,932.906,1.75592,1.91493,1.98163,0,0,0,0,0,0,0,0.001406,0.001406,0.001406
17,990.432,1.75489,1.86899,1.97552,0,0,0,0,0,0,0,0.0013664,0.0013664,0.0013664
18,1047.98,1.74893,1.88512,1.9729,0,0,0,0,0,0,0,0.0013268,0.0013268,0.0013268
19,1105.56,1.75277,1.86512,1.96073,0,0,0,0,0,0,0,0.0012872,0.0012872,0.0012872
20,1163.12,1.6994,1.81858,1.95479,0,0,0,0,0,0,0,0.0012476,0.0012476,0.0012476
21,1220.59,1.73159,1.88574,1.96958,0,0,0,0,0,0,0,0.001208,0.001208,0.001208
22,1279.64,1.70249,1.78311,1.94991,0,0,0,0,0,0,0,0.0011684,0.0011684,0.0011684
23,1337.18,1.71672,1.79045,1.94394,0,0,0,0,0,0,0,0.0011288,0.0011288,0.0011288
24,1394.72,1.69532,1.80166,1.93591,0,0,0,0,0,0,0,0.0010892,0.0010892,0.0010892
25,1452.32,1.68065,1.74967,1.92331,0,0,0,0,0,0,0,0.0010496,0.0010496,0.0010496
26,1509.85,1.65736,1.70445,1.91456,0,0,0,0,0,0,0,0.00101,0.00101,0.00101
27,1567.38,1.68661,1.70739,1.92865,0,0,0,0,0,0,0,0.0009704,0.0009704,0.0009704
